generation,chromosome,chromosome_origin,last_mutation,parameter,old_value,new_value,fitness
4,11,offspring,design_param,left.collar.f_collar.range.3,SquareNeckHalf,TrapezoidNeckHalf,0.767886531486781
4,11,offspring,design_param,left.collar.f_collar.range.4,TrapezoidNeckHalf,CircleArcNeckHalf,0.767886531486781
4,11,offspring,design_param,left.collar.f_collar.range.6,Bezier2NeckHalf,,0.767886531486781
4,11,offspring,design_param,left.collar.f_collar.range.0,CircleNeckHalf,CurvyNeckHalf,0.767886531486781
4,11,offspring,design_param,left.collar.f_collar.range.5,CircleArcNeckHalf,Bezier2NeckHalf,0.767886531486781
4,11,offspring,design_param,left.collar.f_collar.v,CircleNeckHalf,CurvyNeckHalf,0.767886531486781
4,11,offspring,design_param,left.collar.f_collar.range.1,CurvyNeckHalf,VNeckHalf,0.767886531486781
4,11,offspring,design_param,left.collar.bc_angle.v,95,88,0.767886531486781
4,11,offspring,design_param,left.collar.f_collar.range.2,VNeckHalf,SquareNeckHalf,0.767886531486781
4,12,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.6615658487613612
4,12,offspring,design_param,shirt.width.v,1.05,1.15495692729414,0.6615658487613612
4,13,offspring,design_param,left.collar.f_collar.range.3,SquareNeckHalf,TrapezoidNeckHalf,0.767886531486781
4,13,offspring,design_param,left.collar.f_collar.range.4,TrapezoidNeckHalf,CircleArcNeckHalf,0.767886531486781
4,13,offspring,design_param,left.collar.f_collar.range.6,Bezier2NeckHalf,,0.767886531486781
4,13,offspring,design_param,left.collar.f_collar.range.0,CircleNeckHalf,CurvyNeckHalf,0.767886531486781
4,13,offspring,design_param,left.collar.f_collar.range.5,CircleArcNeckHalf,Bezier2NeckHalf,0.767886531486781
4,13,offspring,design_param,left.collar.f_collar.v,CircleNeckHalf,CurvyNeckHalf,0.767886531486781
4,13,offspring,design_param,left.collar.f_collar.range.1,CurvyNeckHalf,VNeckHalf,0.767886531486781
4,13,offspring,design_param,left.collar.f_collar.range.2,VNeckHalf,SquareNeckHalf,0.767886531486781
4,14,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.6591916897746578
4,14,offspring,design_param,left.shirt.strapless.v,False,True,0.6591916897746578
4,14,offspring,design_param,left.shirt.strapless.range.1,False,,0.6591916897746578
4,15,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
4,15,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
4,16,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.6942998003053475
4,16,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.6942998003053475
4,17,offspring,design_param,left.collar.f_collar.range.3,SquareNeckHalf,TrapezoidNeckHalf,0.7228810918978676
4,17,offspring,design_param,left.collar.f_collar.range.4,TrapezoidNeckHalf,CircleArcNeckHalf,0.7228810918978676
4,17,offspring,design_param,left.collar.f_collar.range.6,Bezier2NeckHalf,,0.7228810918978676
4,17,offspring,design_param,left.collar.f_collar.range.0,CircleNeckHalf,CurvyNeckHalf,0.7228810918978676
4,17,offspring,design_param,left.collar.f_collar.range.5,CircleArcNeckHalf,Bezier2NeckHalf,0.7228810918978676
4,17,offspring,design_param,left.collar.f_collar.v,CircleNeckHalf,CurvyNeckHalf,0.7228810918978676
4,17,offspring,design_param,left.collar.f_collar.range.1,CurvyNeckHalf,VNeckHalf,0.7228810918978676
4,17,offspring,design_param,left.collar.f_collar.range.2,VNeckHalf,SquareNeckHalf,0.7228810918978676
4,18,mutant,design_param,waistband.width.v,0.2,0.8809553127078418,0.7502370675679445
4,20,mutant,design_param,left.collar.fc_angle.v,95,105,0.7500044951079509
4,22,mutant,design_param,left.collar.f_collar.range.3,SquareNeckHalf,TrapezoidNeckHalf,0.6862990136562956
4,22,mutant,design_param,left.collar.f_collar.range.4,TrapezoidNeckHalf,CircleArcNeckHalf,0.6862990136562956
4,22,mutant,design_param,left.collar.f_collar.range.6,Bezier2NeckHalf,,0.6862990136562956
4,22,mutant,design_param,left.collar.f_collar.range.0,CircleNeckHalf,CurvyNeckHalf,0.6862990136562956
4,22,mutant,design_param,left.collar.f_collar.range.5,CircleArcNeckHalf,Bezier2NeckHalf,0.6862990136562956
4,22,mutant,design_param,left.collar.f_collar.v,CircleNeckHalf,CurvyNeckHalf,0.6862990136562956
4,22,mutant,design_param,left.collar.f_collar.range.1,CurvyNeckHalf,VNeckHalf,0.6862990136562956
4,22,mutant,design_param,left.collar.f_collar.range.2,VNeckHalf,SquareNeckHalf,0.6862990136562956
4,22,mutant,design_param,left.shirt.width.v,1.05,1.2545146969355532,0.6862990136562956
4,24,mutant,design_param,collar.b_bezier_x.v,0.15,0.5329825316772429,0.7111703235951755
4,24,mutant,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7111703235951755
4,24,mutant,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7111703235951755
4,25,mutant,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.6581758073350925
4,25,mutant,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.6581758073350925
4,26,mutant,design_param,left.collar.f_collar.range.3,SquareNeckHalf,TrapezoidNeckHalf,0.764949317657701
4,26,mutant,design_param,left.collar.f_collar.range.4,TrapezoidNeckHalf,CircleArcNeckHalf,0.764949317657701
4,26,mutant,design_param,left.collar.f_collar.range.6,Bezier2NeckHalf,,0.764949317657701
4,26,mutant,design_param,left.collar.f_collar.range.0,CircleNeckHalf,CurvyNeckHalf,0.764949317657701
4,26,mutant,design_param,left.collar.f_collar.range.5,CircleArcNeckHalf,Bezier2NeckHalf,0.764949317657701
4,26,mutant,design_param,left.collar.f_collar.v,CircleNeckHalf,SquareNeckHalf,0.764949317657701
4,26,mutant,design_param,left.collar.f_collar.range.1,CurvyNeckHalf,VNeckHalf,0.764949317657701
4,26,mutant,design_param,left.collar.f_collar.range.2,VNeckHalf,SquareNeckHalf,0.764949317657701
5,0,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
5,0,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
5,1,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
5,1,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
5,1,offspring,design_param,meta.upper.v,FittedShirt,Shirt,0.7705637375336334
5,1,offspring,design_param,meta.upper.range.1,Shirt,,0.7705637375336334
5,1,offspring,design_param,meta.upper.range.0,FittedShirt,Shirt,0.7705637375336334
5,2,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
5,2,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
5,3,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
5,3,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
5,4,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
5,4,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
5,5,offspring,design_param,left.collar.f_collar.range.3,SquareNeckHalf,TrapezoidNeckHalf,0.767886531486781
5,5,offspring,design_param,left.collar.f_collar.range.4,TrapezoidNeckHalf,CircleArcNeckHalf,0.767886531486781
5,5,offspring,design_param,left.collar.f_collar.range.6,Bezier2NeckHalf,,0.767886531486781
5,5,offspring,design_param,left.collar.f_collar.range.0,CircleNeckHalf,CurvyNeckHalf,0.767886531486781
5,5,offspring,design_param,left.collar.f_collar.range.5,CircleArcNeckHalf,Bezier2NeckHalf,0.767886531486781
5,5,offspring,design_param,left.collar.f_collar.v,CircleNeckHalf,CurvyNeckHalf,0.767886531486781
5,5,offspring,design_param,left.collar.f_collar.range.1,CurvyNeckHalf,VNeckHalf,0.767886531486781
5,5,offspring,design_param,left.collar.f_collar.range.2,VNeckHalf,SquareNeckHalf,0.767886531486781
5,6,offspring,,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
5,6,offspring,,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
5,7,offspring,,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
5,7,offspring,,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
5,8,offspring,,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
5,8,offspring,,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
5,9,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
5,9,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
5,9,offspring,design_param,meta.upper.v,FittedShirt,Shirt,0.7705637375336334
5,9,offspring,design_param,meta.upper.range.1,Shirt,,0.7705637375336334
5,9,offspring,design_param,meta.upper.range.0,FittedShirt,Shirt,0.7705637375336334
5,10,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
5,10,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
5,10,offspring,design_param,meta.upper.v,FittedShirt,Shirt,0.7705637375336334
5,10,offspring,design_param,meta.upper.range.1,Shirt,,0.7705637375336334
5,10,offspring,design_param,meta.upper.range.0,FittedShirt,Shirt,0.7705637375336334
5,11,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.6581758073350925
5,11,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.6581758073350925
5,11,offspring,design_param,shirt.width.v,1.05,1.2213714410190262,0.6581758073350925
5,12,offspring,design_param,left.collar.b_flip_curve.v,False,True,0.7705637375336334
5,12,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
