pattern,algorithm,split,run,usage_bb,concave_hull,rest_length
rand_05PQL1BU0S_specification,NFP,True,0,0.604658069075955,0.6941641264531385,51.06299999999999
rand_05PQL1BU0S_specification,NFP,True,1,0.5359290948108724,0.6483339404177726,5.949999999999989
rand_05PQL1BU0S_specification,NFP,True,2,0.6759590504502653,0.7217628893130191,15.399000000000001
rand_05V1M7JE75_specification,BL,False,0,0.4560908843812412,0.6829034989013891,96.0
rand_05V1M7JE75_specification,BL,False,1,0.5023218177383254,0.6239011335983605,96.0
rand_05V1M7JE75_specification,BL,False,2,0.5537187038906456,0.7020948765359453,100.0
rand_05V1M7JE75_specification,NFP,False,0,0.4900058282176304,0.6378924252744897,67.12299999999999
rand_05V1M7JE75_specification,NFP,False,1,0.6127428865097917,0.7350078649898872,96.695
rand_05V1M7JE75_specification,NFP,False,2,0.5305635919462812,0.6895618596988241,79.318
rand_05V1M7JE75_specification,BL,True,0,0.35584957840336945,0.5665034006530438,94.0
rand_05V1M7JE75_specification,BL,True,1,0.38300936864779345,0.7427289233899129,94.0
rand_05V1M7JE75_specification,BL,True,2,0.2865934025323395,0.6497009948556448,94.0
rand_05V1M7JE75_specification,NFP,True,0,0.5264351122932244,0.6737826052561097,90.47800000000001
rand_05V1M7JE75_specification,NFP,True,1,0.5967843141867999,0.7538160269336445,85.0
rand_05V1M7JE75_specification,NFP,True,2,0.660158531146989,0.7388073179219182,81.617
rand_072Z1RD0W5_specification,BL,False,0,0.0,0.0,0.0
rand_072Z1RD0W5_specification,BL,False,1,0.0,0.0,0.0
rand_072Z1RD0W5_specification,BL,False,2,0.0,0.0,0.0
rand_072Z1RD0W5_specification,NFP,False,0,0.5284249794873636,0.6116903889421118,2.948999999999984
rand_072Z1RD0W5_specification,NFP,False,1,0.5031534451707563,0.6006202584670164,1.5109999999999957
rand_072Z1RD0W5_specification,NFP,False,2,0.507351635643194,0.6014024733693297,7.093000000000018
rand_072Z1RD0W5_specification,BL,True,0,0.0,0.0,0.0
rand_072Z1RD0W5_specification,BL,True,1,0.0,0.0,0.0
rand_072Z1RD0W5_specification,BL,True,2,0.0,0.0,0.0
rand_072Z1RD0W5_specification,NFP,True,0,0.5853393050553904,0.662199427319481,1.031000000000006
rand_072Z1RD0W5_specification,NFP,True,1,0.5455944157750002,0.6438222438850398,0.35499999999998977
rand_072Z1RD0W5_specification,NFP,True,2,0.6095701258592481,0.6625020327280476,16.033999999999992
rand_0734NLMRN9_specification,BL,False,0,0.2915802602066692,0.8170605094984473,6.0
rand_0734NLMRN9_specification,BL,False,1,0.3687818544628733,0.7785580213535019,6.0
rand_0734NLMRN9_specification,BL,False,2,0.35511933325685485,0.7752768019103661,6.0
rand_0734NLMRN9_specification,NFP,False,0,0.6352313764677802,0.7923264753344305,65.599
rand_0734NLMRN9_specification,NFP,False,1,0.6354334981717811,0.7524849876916191,61.554
rand_0734NLMRN9_specification,NFP,False,2,0.596850081510562,0.7387185643184132,55.196
rand_0734NLMRN9_specification,BL,True,0,0.0,0.0,0.0
rand_0734NLMRN9_specification,BL,True,1,0.0,0.0,0.0
rand_0734NLMRN9_specification,BL,True,2,0.0,0.0,0.0
rand_0734NLMRN9_specification,NFP,True,0,0.5650885757317634,0.7320705622119172,63.974999999999994
rand_0734NLMRN9_specification,NFP,True,1,0.5268072351613474,0.7805162928879572,62.521
rand_0734NLMRN9_specification,NFP,True,2,0.46641132180159434,0.6849135560422602,53.416
rand_07EKIQJMNA_specification,BL,False,0,0.0,0.0,0.0
rand_07EKIQJMNA_specification,BL,False,1,0.40448083910739874,0.6583894314897547,38.0
rand_07EKIQJMNA_specification,BL,False,2,0.0,0.0,0.0
rand_07EKIQJMNA_specification,NFP,False,0,0.600054089935411,0.6938712314116335,13.883999999999986
rand_07EKIQJMNA_specification,NFP,False,1,0.6384041903649827,0.7274812412644224,48.31
rand_07EKIQJMNA_specification,NFP,False,2,0.47593964577423364,0.6285171757641899,5.996999999999986
rand_07EKIQJMNA_specification,BL,True,0,0.0,0.0,0.0
rand_07EKIQJMNA_specification,BL,True,1,0.0,0.0,0.0
rand_07EKIQJMNA_specification,BL,True,2,0.0,0.0,0.0
rand_07EKIQJMNA_specification,NFP,True,0,0.521231470913287,0.6788047111941488,40.605999999999995
rand_07EKIQJMNA_specification,NFP,True,1,0.5645983233907489,0.6652225945534177,30.037999999999997
rand_07EKIQJMNA_specification,NFP,True,2,0.549629629006661,0.6634496663622086,47.577
rand_07JYAR0G1P_specification,BL,False,0,0.7341788385934533,0.7718570711642396,132.0
rand_07JYAR0G1P_specification,BL,False,1,0.7404039448028281,0.7644198338135993,132.0
rand_07JYAR0G1P_specification,BL,False,2,0.7404039448028281,0.7924266759629705,132.0
rand_07JYAR0G1P_specification,NFP,False,0,0.612874832023381,0.7011018105482543,101.963
rand_07JYAR0G1P_specification,NFP,False,1,0.612874832023381,0.7011018105482543,101.963
rand_07JYAR0G1P_specification,NFP,False,2,0.612874832023381,0.7011018105482543,101.963
rand_07JYAR0G1P_specification,BL,True,0,0.5889094746364668,0.6352444448579645,130.0
rand_07JYAR0G1P_specification,BL,True,1,0.579334606032532,0.6453572787329459,130.0
rand_07JYAR0G1P_specification,BL,True,2,0.5718501132627261,0.6448723739702205,130.0
rand_07JYAR0G1P_specification,NFP,True,0,0.6159978802364379,0.6876887441131495,102.184
rand_07JYAR0G1P_specification,NFP,True,1,0.6022390987468752,0.6485931055515035,108.074
rand_07JYAR0G1P_specification,NFP,True,2,0.6034105319543717,0.6522914178850584,109.399
rand_07LSZ9ASL3_specification,BL,False,0,0.6164223472634757,0.7944670922040769,84.0
rand_07LSZ9ASL3_specification,BL,False,1,0.811284206677383,0.8629602470435224,62.0
rand_07LSZ9ASL3_specification,BL,False,2,0.5569997587383997,0.8378638795269447,62.0
rand_07LSZ9ASL3_specification,NFP,False,0,0.4596207570293514,0.7547215191857033,0.37000000000000455
rand_07LSZ9ASL3_specification,NFP,False,1,0.4596207570293514,0.7547215191857033,0.37000000000000455
rand_07LSZ9ASL3_specification,NFP,False,2,0.44690821435914085,0.7318442242030847,0.9019999999999868
rand_07LSZ9ASL3_specification,BL,True,0,0.47573912063423746,0.6942215150210922,60.0
rand_07LSZ9ASL3_specification,BL,True,1,0.3358406669627265,0.828402015270871,60.0
rand_07LSZ9ASL3_specification,BL,True,2,0.4785145047618563,0.7814850757107534,60.0
rand_07LSZ9ASL3_specification,NFP,True,0,0.5397580243682509,0.7453306231006585,58.90899999999999
rand_07LSZ9ASL3_specification,NFP,True,1,0.4857235503155333,0.6683056965660286,56.26899999999999
rand_07LSZ9ASL3_specification,NFP,True,2,0.6001107677439917,0.7145258052271327,34.181
rand_07SXFM3OXA_specification,BL,False,0,0.6131497157800221,0.7226848861759377,112.0
rand_07SXFM3OXA_specification,BL,False,1,0.6630345247139651,0.7387738549253308,112.0
rand_07SXFM3OXA_specification,BL,False,2,0.625056995773297,0.7357720475289976,112.0
rand_07SXFM3OXA_specification,NFP,False,0,0.6218421001165891,0.736617999747065,81.15899999999999
rand_07SXFM3OXA_specification,NFP,False,1,0.5524012515893676,0.7251159219075298,89.662
rand_07SXFM3OXA_specification,NFP,False,2,0.553042048864581,0.6736491818886403,88.032
rand_07SXFM3OXA_specification,BL,True,0,0.5632679649637563,0.7464786735496683,114.0
rand_07SXFM3OXA_specification,BL,True,1,0.5724818158409232,0.7380249729066287,116.0
rand_07SXFM3OXA_specification,BL,True,2,0.5785831073693403,0.7708166904267145,114.0
rand_07SXFM3OXA_specification,NFP,True,0,0.6716187461742896,0.7591507261743746,104.622
rand_07SXFM3OXA_specification,NFP,True,1,0.704907471525971,0.822899852197466,96.008
rand_07SXFM3OXA_specification,NFP,True,2,0.6296026964098126,0.7740018458570207,89.932
rand_07XRPZ49VR_specification,BL,False,0,0.7014603142329504,0.8478128729437612,46.0
rand_07XRPZ49VR_specification,BL,False,1,0.7014603142329505,0.8361864447564176,46.0
rand_07XRPZ49VR_specification,BL,False,2,0.0,0.0,0.0
rand_07XRPZ49VR_specification,NFP,False,0,0.0,0.0,-31.765000000000015
rand_07XRPZ49VR_specification,NFP,False,1,0.0,0.0,-31.765000000000015
rand_07XRPZ49VR_specification,NFP,False,2,0.0,0.0,-31.765000000000015
rand_07XRPZ49VR_specification,BL,True,0,0.6179859254523319,0.7793139469359529,38.0
rand_07XRPZ49VR_specification,BL,True,1,0.5395328102081055,0.8125272801326623,22.0
rand_07XRPZ49VR_specification,BL,True,2,0.0,0.0,0.0
rand_07XRPZ49VR_specification,NFP,True,0,0.45060453243103626,0.8442213846409705,0.2560000000000002
rand_07XRPZ49VR_specification,NFP,True,1,0.6639545415566975,0.8131477413473951,38.353999999999985
rand_07XRPZ49VR_specification,NFP,True,2,0.4872157393086396,0.8236309767850503,0.2560000000000002
rand_080HTM498A_specification,BL,False,0,0.3786127328925324,0.6427812323571763,84.0
rand_080HTM498A_specification,BL,False,1,0.3506211232218993,0.602717096813738,84.0
rand_080HTM498A_specification,BL,False,2,0.34280547604294287,0.5786800084389695,84.0
rand_080HTM498A_specification,NFP,False,0,0.4772124705491281,0.5999435088690391,67.36099999999999
rand_080HTM498A_specification,NFP,False,1,0.4946567089046821,0.6469854430919469,34.45399999999999
rand_080HTM498A_specification,NFP,False,2,0.44012653174271416,0.6442211592729409,65.072
rand_080HTM498A_specification,BL,True,0,0.27750991349026355,0.5865270650290813,82.0
rand_080HTM498A_specification,BL,True,1,0.3335205751634515,0.645982115031582,92.0
rand_080HTM498A_specification,BL,True,2,0.28751071868390177,0.6653812613712515,86.0
rand_080HTM498A_specification,NFP,True,0,0.5964683152608575,0.7008582473098508,72.576
rand_080HTM498A_specification,NFP,True,1,0.6210475261295964,0.6955325608824756,80.133
rand_080HTM498A_specification,NFP,True,2,0.5562442957720318,0.6735438687000648,82.384
rand_0883WEOFDQ_specification,BL,False,0,0.4310169153760594,0.6510956563068127,62.0
rand_0883WEOFDQ_specification,BL,False,1,0.0,0.0,0.0
rand_0883WEOFDQ_specification,BL,False,2,0.437251736804461,0.7437178078666359,62.0
rand_0883WEOFDQ_specification,NFP,False,0,0.5544693608699354,0.6987722862800552,26.998999999999995
rand_0883WEOFDQ_specification,NFP,False,1,0.5101076947804197,0.7477164930821525,0.08299999999999841
rand_0883WEOFDQ_specification,NFP,False,2,0.517450556667457,0.7013795518186086,0.6299999999999955
rand_0883WEOFDQ_specification,BL,True,0,0.0,0.0,0.0
rand_0883WEOFDQ_specification,BL,True,1,0.0,0.0,0.0
rand_0883WEOFDQ_specification,BL,True,2,0.0,0.0,0.0
rand_0883WEOFDQ_specification,NFP,True,0,0.6121414717305933,0.6917959495038273,16.0
rand_0883WEOFDQ_specification,NFP,True,1,0.5898340841401294,0.7377539869145606,19.889999999999986
rand_0883WEOFDQ_specification,NFP,True,2,0.6558276658577538,0.7079793043397224,33.57300000000001
rand_08JNMI8ORP_specification,BL,False,0,0.6480891415406256,0.8626456013240833,70.0
rand_08JNMI8ORP_specification,BL,False,1,0.8603449621033957,0.9258282802328915,84.0
rand_08JNMI8ORP_specification,BL,False,2,0.6780509426177077,0.8864562930124595,84.0
rand_08JNMI8ORP_specification,NFP,False,0,0.709635568106233,0.8600126795111311,33.399
rand_08JNMI8ORP_specification,NFP,False,1,0.5492986122208308,0.8196772762336739,14.068999999999988
rand_08JNMI8ORP_specification,NFP,False,2,0.5081300716434943,0.7695905954787126,30.241
rand_08JNMI8ORP_specification,BL,True,0,0.46533668976084064,0.8095335225277045,68.0
rand_08JNMI8ORP_specification,BL,True,1,0.6890854399160309,0.9057033119289746,102.0
rand_08JNMI8ORP_specification,BL,True,2,0.4013285207546644,0.835199886981445,68.0
rand_08JNMI8ORP_specification,NFP,True,0,0.6427436630743917,0.8412012446697641,48.775999999999996
rand_08JNMI8ORP_specification,NFP,True,1,0.5257446158389828,0.6669336365751694,36.52000000000001
rand_08JNMI8ORP_specification,NFP,True,2,0.5684189685313048,0.7870927834771843,33.36099999999999
rand_09OHSXSIJE_specification,BL,False,0,0.5430402046835957,0.8499281518899403,72.0
rand_09OHSXSIJE_specification,BL,False,1,0.6733624165628512,0.7725318257372368,36.0
rand_09OHSXSIJE_specification,BL,False,2,0.5053403542486091,0.8156249048622864,36.0
rand_09OHSXSIJE_specification,NFP,False,0,0.7091634706635694,0.8453831221982679,36.013999999999996
rand_09OHSXSIJE_specification,NFP,False,1,0.7231686332378752,0.8447040513241361,36.013999999999996
rand_09OHSXSIJE_specification,NFP,False,2,0.7231686332378752,0.8447040513241361,36.013999999999996
rand_09OHSXSIJE_specification,BL,True,0,0.6986301465930996,0.8320780081118636,84.0
rand_09OHSXSIJE_specification,BL,True,1,0.5470039694600884,0.8008145095380623,70.0
rand_09OHSXSIJE_specification,BL,True,2,0.5734479561849014,0.810991189266615,70.0
rand_09OHSXSIJE_specification,NFP,True,0,0.413399206485079,0.7295114678289216,7.186999999999983
rand_09OHSXSIJE_specification,NFP,True,1,0.5094442585167546,0.7777035751948108,27.593999999999994
rand_09OHSXSIJE_specification,NFP,True,2,0.5665623433877517,0.7715085540708108,37.309
rand_09RJPU2VKT_specification,BL,False,0,0.3547635619055685,0.6465891741439892,58.0
rand_09RJPU2VKT_specification,BL,False,1,0.34653325821565784,0.6732043839886891,60.0
rand_09RJPU2VKT_specification,BL,False,2,0.3891279611578116,0.6709987970990545,58.0
rand_09RJPU2VKT_specification,NFP,False,0,0.4269320068245607,0.5895187567425006,8.828000000000003
rand_09RJPU2VKT_specification,NFP,False,1,0.45932447354659356,0.6222021499266641,8.396000000000015
rand_09RJPU2VKT_specification,NFP,False,2,0.5381915105111603,0.6866191792035048,2.5009999999999764
rand_09RJPU2VKT_specification,BL,True,0,0.0,0.0,0.0
rand_09RJPU2VKT_specification,BL,True,1,0.30222704499518843,0.5869452395889656,36.0
rand_09RJPU2VKT_specification,BL,True,2,0.44250178520228883,0.6265152520491417,70.0
rand_09RJPU2VKT_specification,NFP,True,0,0.5419298629359998,0.6664529011863382,18.525000000000006
rand_09RJPU2VKT_specification,NFP,True,1,0.589593699682792,0.7176434841220779,18.677999999999997
rand_09RJPU2VKT_specification,NFP,True,2,0.5659511339621086,0.6596524390681877,7.715000000000003
rand_09WQLJ3QED_specification,BL,False,0,0.4278777109208969,0.6734660125562725,92.0
rand_09WQLJ3QED_specification,BL,False,1,0.3959080932633717,0.6039926371267842,92.0
rand_09WQLJ3QED_specification,BL,False,2,0.32111809527194596,0.632328833402086,88.0
rand_09WQLJ3QED_specification,NFP,False,0,0.6751974493877324,0.7879717915526226,54.355999999999995
rand_09WQLJ3QED_specification,NFP,False,1,0.5453695188402855,0.6495203577808933,48.13499999999999
rand_09WQLJ3QED_specification,NFP,False,2,0.5119726437413621,0.6146890558437212,55.768
rand_09WQLJ3QED_specification,BL,True,0,0.36941828744766986,0.6011250214296033,98.0
rand_09WQLJ3QED_specification,BL,True,1,0.4368511865315199,0.6158451133713767,94.0
rand_09WQLJ3QED_specification,BL,True,2,0.35763442846780885,0.6498959253268368,94.0
rand_09WQLJ3QED_specification,NFP,True,0,0.620387967156916,0.6738880529649938,74.975
rand_09WQLJ3QED_specification,NFP,True,1,0.573900737359046,0.751075101573754,72.904
rand_09WQLJ3QED_specification,NFP,True,2,0.5778076671021567,0.6229445661965254,77.405
rand_0A36YXPNV0_specification,BL,False,0,0.34282806750440853,0.6782478358484907,38.0
rand_0A36YXPNV0_specification,BL,False,1,0.5270979084540269,0.7063239660461509,73.99999999999999
rand_0A36YXPNV0_specification,BL,False,2,0.4351509434209444,0.7149842091855126,60.0
rand_0A36YXPNV0_specification,NFP,False,0,0.5089726203389887,0.6399746031540612,17.44099999999999
rand_0A36YXPNV0_specification,NFP,False,1,0.5643011541390025,0.6602131731921201,5.173000000000002
rand_0A36YXPNV0_specification,NFP,False,2,0.5408962449289066,0.7182575376257073,5.977000000000004
rand_0A36YXPNV0_specification,BL,True,0,0.3672968768869389,0.6411489780267616,26.0
rand_0A36YXPNV0_specification,BL,True,1,0.0,0.0,0.0
rand_0A36YXPNV0_specification,BL,True,2,0.34556788004230643,0.65833096276395,20.0
rand_0A36YXPNV0_specification,NFP,True,0,0.627969016468689,0.734453862295532,27.78
rand_0A36YXPNV0_specification,NFP,True,1,0.5407350114557907,0.6823818917350618,14.149000000000001
rand_0A36YXPNV0_specification,NFP,True,2,0.6769528262759509,0.7569753597303006,2.1030000000000086
rand_0AAY3NQH8J_specification,BL,False,0,0.0,0.0,0.0
rand_0AAY3NQH8J_specification,BL,False,1,0.0,0.0,0.0
rand_0AAY3NQH8J_specification,BL,False,2,0.0,0.0,0.0
rand_0AAY3NQH8J_specification,NFP,False,0,0.0,0.0,0.0
rand_0AAY3NQH8J_specification,NFP,False,1,0.4782638211092604,0.625298622902543,6.5090000000000146
rand_0AAY3NQH8J_specification,NFP,False,2,0.5045593377059071,0.5881669860306155,2.2920000000000016
rand_0AAY3NQH8J_specification,BL,True,0,0.0,0.0,0.0
rand_0AAY3NQH8J_specification,BL,True,1,0.0,0.0,0.0
rand_0AAY3NQH8J_specification,BL,True,2,0.0,0.0,0.0
rand_0AAY3NQH8J_specification,NFP,True,0,0.0,0.0,0.0
rand_0AAY3NQH8J_specification,NFP,True,1,0.0,0.0,0.0
rand_0AAY3NQH8J_specification,NFP,True,2,0.6111260973694997,0.6816728718606184,13.810000000000002
rand_0ADI18HWRF_specification,BL,False,0,0.386886496968227,0.7068344940919722,46.0
rand_0ADI18HWRF_specification,BL,False,1,0.0,0.0,0.0
rand_0ADI18HWRF_specification,BL,False,2,0.4334993279282544,0.7280640354300995,56.0
rand_0ADI18HWRF_specification,NFP,False,0,0.6150610004800546,0.7022168280463694,5.0
rand_0ADI18HWRF_specification,NFP,False,1,0.5126983676290028,0.6580436973955732,8.954000000000008
rand_0ADI18HWRF_specification,NFP,False,2,0.5044254195869188,0.6452953820936909,10.73399999999998
rand_0ADI18HWRF_specification,BL,True,0,0.0,0.0,0.0
rand_0ADI18HWRF_specification,BL,True,1,0.0,0.0,0.0
rand_0ADI18HWRF_specification,BL,True,2,0.0,0.0,0.0
