population_size,elite_size,mutation_rate,pmx,generations,allow_dups,best_fitness,avg_child_fitness,success_ratio,survival_rate,delta_best,crossover_gain,mutation_gain,elapsed_sec
10,5,0.1,False,15,True,0.6325214153722678,0.567474270078822,0.0,1.0,0.0,-0.025232302432991006,-0.017977457412458597,43.795284032821655
10,5,0.1,False,15,False,0.5851727316460267,0.5085893798069927,0.0,0.6,0.0,-0.0034070602925730608,0.0,39.183717012405396
10,5,0.2,True,10,True,0.6104371961682243,0.4705011252755746,0.0,1.0,0.0,-0.040842144018548944,-0.14388876766822428,29.66629195213318
10,5,0.2,True,10,False,0.6004403966650382,0.4904457915947704,0.0,1.0,0.0,-0.07507409005206102,0.0,29.932119846343994
10,5,0.2,True,15,True,0.6008614987213415,0.5997674119777349,0.0,1.0,0.0,0.0020920643897584636,0.0,45.698363065719604
10,5,0.2,True,15,False,0.6403605881372548,0.4673018553772308,0.0,1.0,0.0,-0.047759285775907115,-0.07968211096775393,53.02072191238403
10,5,0.2,False,10,True,0.5992365136697249,0.48551881566885635,0.0,0.8,0.0,-0.04152177766365935,0.0,27.504936933517456
10,5,0.2,False,10,False,0.6380579807605093,0.49053229277992455,0.0,1.0,0.0,-0.076591796164351,0.0,33.75734806060791
10,5,0.2,False,15,True,0.6073722413275283,0.4913324788281013,0.2,0.8,0.0,-0.006865145246608062,-0.09276267430621826,46.15070080757141
10,5,0.2,False,15,False,0.6251905239530989,0.48141827183788344,0.0,1.0,0.0,-0.06532190219218992,1.1102230246251565e-16,39.547086000442505
10,5,0.3,True,10,True,0.5865936447007112,0.5073811087179306,0.2,0.8,0.0,-0.023878390623523583,-0.034277735628635786,26.825879096984863
10,5,0.3,True,10,False,0.6256998876807587,0.4855308046870325,0.2,0.8,0.0,-0.018401478259348892,-0.06612062067265306,30.983622074127197
10,5,0.3,True,15,True,0.6354175071503801,0.5159828289052961,0.2,0.8,0.018468792076480445,-0.05059425256323212,-0.008712342261891104,46.33319616317749
10,5,0.3,True,15,False,0.5949818476044468,0.4681006158035215,0.0,1.0,0.0,-0.0746091911948716,0.0007594540556496998,46.73969101905823
10,5,0.3,False,10,True,0.6158841736507482,0.5000136554335887,0.0,1.0,0.0,-0.0036135266276721032,-0.09182667688340462,32.96629810333252
10,5,0.3,False,10,False,0.648621000930665,0.4927130406423805,0.2,1.0,0.0,-0.06995684630714646,-0.006426522321986483,35.68385601043701
10,5,0.3,False,15,True,0.6002056530728516,0.4949705118445197,0.2,0.8,0.015848481318484042,-0.04178714527788775,0.037430718282646436,44.5894820690155
10,5,0.3,False,15,False,0.5746888901003585,0.4836841110222882,0.2,1.0,0.0,-0.012841127217150573,0.0,43.842729330062866
20,3,0.1,True,10,True,0.6616677492234619,0.4817169800964487,0.17647058823529413,1.0,0.0,-0.031061538716042957,0.0,82.70436787605286
20,3,0.1,True,10,False,0.6210839996558152,0.4837572412554052,0.11764705882352941,1.0,0.0,-0.013744478451321351,0.0,81.82366108894348
20,3,0.1,True,15,True,0.6341434950485437,0.4887609338835927,0.058823529411764705,1.0,0.0,-0.01115935177022241,0.0,126.42506289482117
20,3,0.1,True,15,False,0.6739619523943958,0.46952711072196546,0.0,1.0,0.0,-0.03294186737446342,0.0,119.05218505859375
20,3,0.1,False,10,True,0.6175184592476343,0.4939326118511313,0.23529411764705882,0.6666666666666666,0.0009152307948825378,-0.01081318527553841,0.0,83.74526309967041
20,3,0.1,False,10,False,0.6547654275432054,0.5029113097501241,0.17647058823529413,0.6666666666666666,0.0,-0.02539997262273733,0.016342262522431983,91.44472980499268
20,3,0.1,False,15,True,0.629623197823201,0.49867683026637843,0.17647058823529413,0.6666666666666666,0.02434792494476201,-0.020111947310846146,-0.03930655212378226,130.16323590278625
20,3,0.1,False,15,False,0.644877958234689,0.48456718569554885,0.058823529411764705,1.0,0.0,-0.013416082515543803,-0.0336094368774188,121.65207886695862
20,3,0.2,True,10,True,0.6166955610459567,0.481459351006248,0.29411764705882354,1.0,0.0,0.0031154745132031436,-0.06642508118390675,87.79449701309204
20,3,0.2,True,10,False,0.6403605881372549,0.4961264414635429,0.29411764705882354,1.0,0.0,-0.0411088502528054,0.07978194460481951,95.13866424560547
20,3,0.2,True,15,True,0.6285550910660712,0.48429449548789755,0.058823529411764705,1.0,0.0,-0.03967285732886476,0.0,143.17418909072876
20,3,0.2,True,15,False,0.657553988596616,0.48238705698280043,0.11764705882352941,0.6666666666666666,0.04318334946574254,-0.017873949501337215,-0.028029440918615506,148.71563816070557
20,3,0.2,False,10,True,0.64262548423295,0.4812044024931126,0.058823529411764705,1.0,0.0,-0.03760747803236923,-0.027306686692758875,90.78904509544373
20,3,0.2,False,10,False,0.6161960376415094,0.4710289956573167,0.35294117647058826,1.0,0.0,-0.011948417393433945,-0.04327713331353414,82.68344712257385
20,3,0.2,False,15,True,0.6410882232706671,0.4785247182810944,0.23529411764705882,1.0,0.0,-0.012792615509414008,5.551115123125783e-17,159.91995215415955
20,3,0.2,False,15,False,0.6664977550000002,0.49088165076517143,0.29411764705882354,1.0,0.0,0.0013854749977204202,0.00018616517839176172,146.24123406410217
20,3,0.3,True,10,True,0.6171275509259261,0.48163477993318804,0.0,1.0,0.0,-0.06277146457574834,-0.03724183768377647,86.10495185852051
20,3,0.3,True,10,False,0.6341434950485437,0.48166595955050395,0.17647058823529413,1.0,0.0,-0.018401809395248395,0.0,97.12103199958801
20,3,0.3,True,15,True,0.6403605881372549,0.4740287989985787,0.11764705882352941,1.0,0.0,-0.03326960257746077,-1.1102230246251565e-16,130.1137979030609
20,3,0.3,True,15,False,0.6280459614423077,0.49066700327728324,0.23529411764705882,1.0,0.0,-0.016430833244645667,0.053046773121547874,155.32127833366394
20,3,0.3,False,10,True,0.6288131134407053,0.483941426865492,0.17647058823529413,0.6666666666666666,0.0,-0.007130366978746524,-0.029950610915594617,106.58871507644653
20,3,0.3,False,10,False,0.6125934118485311,0.47999762147142894,0.058823529411764705,1.0,0.0,-0.03683634898764309,0.006323888535965078,101.39768195152283
20,3,0.3,False,15,True,0.656653305797373,0.5057007715354057,0.0,1.0,0.0,-0.02786357105447301,0.0,155.531081199646
20,3,0.3,False,15,False,0.6288131134407055,0.49960264924728104,0.23529411764705882,1.0,0.0,-0.016370004154569972,0.01603292922324564,146.64448165893555
20,5,0.1,True,10,True,0.6443134511601224,0.4826511125913283,0.13333333333333333,0.8,0.0,-0.04684966352667444,0.0,83.78592205047607
20,5,0.1,True,10,False,0.6881506250763829,0.5164699943766233,0.13333333333333333,0.8,0.027486667649838314,-0.012954446152394978,0.0,89.03797817230225
20,5,0.1,True,15,True,0.6205017342985468,0.4834303220573828,0.06666666666666667,1.0,0.0,-0.03554567304155406,0.0,108.52764582633972
20,5,0.1,True,15,False,0.6351424569711585,0.5174872737479924,0.26666666666666666,0.6,0.0,0.011381435592665086,-0.0655696559250406,129.93581008911133
20,5,0.1,False,10,True,0.6603057045663624,0.4976103954355201,0.06666666666666667,0.6,0.0,-0.025720375051950604,-0.03219490208219383,79.72047591209412
20,5,0.1,False,10,False,0.6312019712988018,0.4796584981994633,0.2,1.0,0.0,-0.03487724749702893,0.0,84.50335311889648
20,5,0.1,False,15,True,0.6004403966650382,0.48626350296691173,0.06666666666666667,1.0,0.0,-0.03206328455540758,0.0,111.61812567710876
20,5,0.1,False,15,False,0.6570311430209632,0.489218862160616,0.06666666666666667,1.0,0.0,-0.059879220564367355,0.0,137.6017200946808
20,5,0.2,True,10,True,0.6368209864116955,0.4914665471920975,0.26666666666666666,1.0,0.0,-0.006097883698885957,-4.6842962308502045e-06,75.09640502929688
20,5,0.2,True,10,False,0.6441028255537221,0.5072613361072452,0.3333333333333333,0.6,0.0,-0.010741012767494366,0.0008410130258236781,88.46144008636475
20,5,0.2,True,15,True,0.6119012840211946,0.4835029151112548,0.2,1.0,0.0,-0.03600568857564901,-0.003786114761667597,105.98666906356812
