generation,avg_child_fitness,avg_elite,avg_off,avg_mut,avg_rand,best_fit,delta_best,mean_offspring_gain,mean_mutant_gain,mut_gain_swap,mut_gain_rotate,mut_gain_scramble,mut_gain_insertion
16,0.64678043108038,0.7322901071502769,0.6221982714375661,0.662425155499758,0.6138056795931187,0.7322901071502768,0.0,-0.04489298341143351,-0.06986495165051873,-0.08964435127640694,-0.07558533473591142,-0.05475697768189096,-0.07807763605504181
17,0.6496639948492529,0.7322901071502769,0.6317074933291396,0.6676847238619555,0.6100653197453844,0.73611061790205,0.003820510751773254,-0.04543681515941418,-0.0646053832883212,-0.05809907427760138,-0.05672486132770274,-0.0851390888258653,-0.042253600376343736
18,0.6548956850751327,0.7326721582254543,0.6430356922238522,0.6719504804852067,0.6141371287124475,0.73611061790205,0.0,-0.027599828759758332,-0.06062616497145311,-0.05906670717034468,-0.03927053315310197,-0.07431844930167873,-0.06352877140471769
19,0.6503852769521223,0.7330542093006316,0.6250500284108167,0.6759490150418128,0.6056341477439028,0.73611061790205,0.0,-0.05349241831362768,-0.057200707027612784,-0.04405093643151202,-0.06049180215373436,-0.07665880108889832,-0.07449255496264033
20,0.6473558152955451,0.7334362603758089,0.6325705085479345,0.6613947524496563,0.6098006218950496,0.73611061790205,0.0,-0.03171683776363746,-0.07204150792615244,-0.06838853390270783,-0.090899062974262,-0.05489279977639625,-0.039037186800672585
21,0.6552088449411605,0.7338183114509862,0.6327992991458725,0.6823313786631715,0.607782008338729,0.73611061790205,0.0,-0.031888982283474386,-0.05177347109419739,-0.04261344181726345,-0.05550756903906686,-0.06672106009424446,-0.043938586633915984
22,0.6516349199843616,0.7356869713144896,0.6332631884815078,0.668555736082584,0.6133043024119249,0.73611061790205,0.0,-0.0571167644711972,-0.06720595024450834,-0.08650369431542049,-0.05860568263770891,-0.05193418857442782,-0.04135567957395819
23,0.6529897989375318,0.7360690223896669,0.6544381976830558,0.6716794870837034,0.5994115410949092,0.73611061790205,0.0,-0.01591426475557216,-0.06437913642786773,-0.08338934293054952,-0.050707231555792674,-0.05302241413260007,-0.06019291148264331
24,0.6540762284364823,0.7361106179020499,0.6312239985224111,0.6751443150631754,0.6138754697217496,0.73611061790205,0.0,-0.04505516897572799,-0.06096630283887464,-0.02969793762684961,-0.06057544662317237,-0.04021627985288987,-0.08417090077144206
25,0.6543272901659036,0.7361106179020499,0.6360526521620012,0.6628003965189195,0.6279517977857684,0.73611061790205,0.0,-0.04035965468953329,-0.07331022138313045,-0.08369031707977588,-0.05998054567561242,-0.07382623702614584,-0.07001441250460223
26,0.6480114047196149,0.7361106179020499,0.6201325259061262,0.6710280846385537,0.6065420129758768,0.73611061790205,0.0,-0.04752203645706012,-0.06508253326349644,-0.05516417085071516,-0.06601555026514666,-0.053796048891648386,-0.10207645232233271
27,0.6563136301653109,0.7361106179020499,0.6319345561310986,0.6736765319473996,0.6228168145664215,0.73611061790205,0.0,-0.05285947552637216,-0.062434085954650456,-0.052932175187771005,-0.07031215299592732,-0.05783822243245039,-0.0686955556928088
28,0.6551005744492998,0.7361106179020499,0.6442099817040665,0.6730650071986362,0.6114050447960905,0.73611061790205,0.0,-0.03897120152190158,-0.06304561070341379,-0.06481546400895563,-0.0727823398423873,-0.03733879079444328,-0.0654277931956761
29,0.6492600530561299,0.7361106179020499,0.6280329577851982,0.6677691772321392,0.6097824293867647,0.73611061790205,0.0,-0.042152851773994734,-0.06834144066991073,-0.08757923108986448,-0.046106514414350944,-0.0705106635763002,-0.06091701452700056
30,0.6494067780282196,0.7361106179020499,0.6338849245316822,0.6676236496014376,0.6065642383036766,0.73611061790205,0.0,-0.040586951392012446,-0.0684869683006123,-0.06173971855479317,-0.051101265201762815,-0.10013997935126974,-0.047748120960616536
31,0.6550223618841844,0.7361106179020499,0.6457976643161908,0.6739062576211527,0.6089642139409356,0.73611061790205,0.0,-0.037842132156600226,-0.06220436028089743,-0.04168249788919436,-0.07665295389435761,-0.06994523281158992,-0.03282909507531482
32,0.6608453640169938,0.7361106179020499,0.6545904070411116,0.6721437030855983,0.6248624652810901,0.7421205878951258,0.006009969993075792,-0.0202244100300283,-0.06396691481645149,-0.0856292255056268,-0.06691251307077649,-0.04163699823256332,-0.04504336542694447
33,0.6541027170077568,0.7367116149013574,0.6255354977200228,0.6795766926691609,0.6116459296865064,0.7421205878951258,0.0,-0.06619508272947025,-0.05728517148202352,-0.01774471693026533,-0.06769650453288636,-0.06143688466894685,-0.05552591103555778
34,0.6565241037225779,0.7373126119006651,0.6551979516193673,0.6694461584585442,0.6132492960840672,0.7421205878951258,0.0,-0.028469536610060048,-0.06756595494246723,-0.05908419414899357,-0.08459730359393307,-0.05924802442184653,-0.06073845097839714
35,0.6605897219695361,0.7373126119006651,0.6401384996249575,0.681878540280477,0.6202644824742902,0.7421205878951258,0.0,-0.04041573736780783,-0.055884819369668624,-0.03918145738883052,-0.076297472385162,-0.00950587851547291,-0.062277171503452626
36,0.6549814265671724,0.7379136088999726,0.6449802362222822,0.6752069508629488,0.607037460291797,0.7421205878951258,0.0,-0.03378050695916256,-0.06225591028754315,-0.05355946958222685,-0.05812970010618763,-0.04162398161016525,-0.08545201803401521
37,0.6556346070976966,0.7385146058992802,0.6357901294706186,0.6695881915034003,0.6226328133742836,0.7421205878951258,0.0,-0.05015006418567074,-0.06832541739657254,-0.06768930483215851,-0.08270695846921153,-0.03996292201451,-0.07233032052283761
38,0.6553687788581238,0.7385146058992802,0.6493652353007376,0.6717327912492563,0.6098371823611526,0.7421205878951258,0.0,-0.04785300741397324,-0.06603056840088936,-0.04250654435119466,-0.07181760669560411,-0.045920837093627744,-0.09644968385678131
39,0.653247731670821,0.7392778603275916,0.6271827888181422,0.670515453809764,0.6189240211684268,0.7421205878951258,0.0,-0.04302993058569557,-0.06924171044538263,-0.09387119355309553,-0.06124904384487579,-0.0632378124100699,-0.05155852631767843
40,0.6607514530957235,0.740479854326207,0.6630546233012038,0.6748395461531824,0.6138557484719631,0.7421205878951258,0.0,-0.026447398144605155,-0.06566886435109862,-0.054210698294403996,-0.08090603202698154,-0.04824434612134396,-0.06183983122088449
41,0.6597243077192216,0.7410808513255146,0.659917053889612,0.6816579292390869,0.6032321337103775,0.7596443071821828,0.017523719287056982,-0.012608797502331204,-0.05931323719385158,-0.059547865628360015,-0.045999382931117785,-0.09546365920354694,-0.027372319141620916
42,0.6646866512989432,0.7438729598238316,0.6650245495869535,0.6838693703103411,0.6124889909167769,0.7596443071821828,0.0,-0.05269385760391987,-0.05956549653131414,-0.04923264323098793,-0.07246072593048304,-0.05727143756324175,-0.05094382588106611
43,0.6577441311376646,0.7457159501797348,0.6396131901998903,0.6739065380074881,0.6189576095890609,0.7596443071821828,0.0,-0.039849176884620016,-0.07179553126966673,-0.0802110310023667,-0.08231049876960601,-0.04454172707958606,-0.06004650433559075
44,0.6629903706880809,0.7457159501797348,0.6486010286609605,0.6911214396979422,0.6074999801957947,0.7596443071821828,0.0,-0.042024983492194454,-0.054836387084484815,-0.06867024503273605,-0.053709747287034044,-0.055596677038206366,-0.03377061002563947
45,0.6658025441362072,0.7476345830068659,0.6448665321522522,0.686627461114578,0.624715983197463,0.7596443071821828,0.0,-0.058446147357509595,-0.0593870885816523,-0.042252909875138675,-0.05522858439813355,-0.07004205813733441,-0.05863285691340674
46,0.6626575976571584,0.747967507308716,0.6473331131399004,0.6874675107301769,0.6113574000207875,0.7602158317604323,0.0005715245782494938,-0.025471468778444455,-0.062014846330200435,-0.059877328852190326,-0.09137805000351448,-0.039026067335590185,-0.036867648266598316
47,0.6612238375619032,0.7519133121956875,0.6444303309049373,0.681267069922087,0.61546537397504,0.7623744119757808,0.002158580215348538,-0.05493388160798177,-0.07037800477653008,-0.06666667412442169,-0.051586050100074374,-0.10281269705863859,-0.06468841459756237
48,0.6615648922073545,0.7555436922145129,0.6331568600718129,0.6864314768722011,0.6160218674088667,0.7623744119757808,0.0,-0.058334396463633455,-0.06884250590880989,-0.05585387685988213,-0.058375920537789866,-0.09483291668826839,-0.08817660881336457
49,0.6689385752959213,0.7576993084733984,0.6603025932923867,0.6912303032408862,0.6153866816458323,0.7623744119757808,0.0,-0.030899582160623544,-0.06592772343207028,-0.05968372865897279,-0.05803271991298558,-0.05684851190139708,-0.09060907895800213
