avg_child_fitness,avg_elite,avg_mut,avg_off,avg_rand,best_fit,delta_best,generation,mean_mutant_gain,mean_offspring_gain,mut_gain_insertion,mut_gain_inversion,mut_gain_rotate,mut_gain_scramble,mut_gain_split,mut_gain_swap
0.7023027142595114,0.7728035730195393,0.7014311517075307,0.6891524313537742,0.6878892373303519,0.7921687513949858,0.011227730296348382,10,-0.07050196240234531,-0.08808298323004274,-0.035273284625833436,-0.05204884863761455,-0.07070694018685113,-0.06055646500238986,-0.10189146076510816,-0.051704685049666264
0.6968785739062267,0.7768538422925416,0.6964594802515751,0.6773435401014082,0.6967198153577907,0.7921687513949858,0.0,11,-0.08163426278892952,-0.10410843016925297,-0.04255388896657495,-0.061526212321713715,-0.10313024025788123,-0.07232415536643073,-0.1033173235957659,-0.0765475922456412
0.7005436139658903,0.7791840928390686,0.7027649810108886,0.6827535504837168,0.6841779208414115,0.7921687513949858,0.0,12,-0.07530978805564288,-0.10041965423863519,-0.06176968990792012,-0.0709049335348851,-0.04113677730923998,-0.0715135183714316,-0.09310472803933298,-0.053467865907379175
0.6997805704850308,0.7801095233511932,0.7015954078195296,0.6841636985991374,0.6746597558244469,0.7921687513949858,0.0,13,-0.0785377379574966,-0.09967556849896866,-0.06596382288676861,-0.08755681006040962,-0.10754712077367905,-0.05138438896607221,-0.09412069057412305,-0.06068847380993552
0.7039602942724629,0.7818189218411542,0.700012138531908,0.6936891443222652,0.6829788894667799,0.7921687513949858,0.0,14,-0.08305429955179547,-0.08998373919325735,-0.07426619268469292,-0.08129925699973567,-0.10561945521895226,-0.0792767359721455,-0.09564095695701706,-0.02618171074159372
0.70640397495079,0.7841904886348013,0.7088375071331726,0.6859152098438375,0.7008383929650578,0.7921687513949858,0.0,15,-0.07561922487792587,-0.10266813736771294,-0.05436743493873066,-0.0621085057580294,-0.1016534771562754,-0.051332540694711624,-0.0889942858370938,-0.06923823094053998
0.7025587297296074,0.7872115576062465,0.7035061319993836,0.686394316404068,0.6787739460760184,0.7921687513949858,0.0,16,-0.08287519029437743,-0.1049099639781667,-0.045105391489444924,-0.06264621751671517,-0.08528006216291438,-0.0831315337732116,-0.09486590477342216,-0.05155045148249482
0.7041593071103168,0.7887108673439815,0.7001148488859091,0.69317517846392,0.6797220943598707,0.7921687513949858,0.0,17,-0.08850377690546393,-0.0982428037339921,-0.09397594359047702,-0.07294568713115464,-0.10828459367119588,-0.07650714677259557,-0.1033540575804414,-0.07240122214337881
0.7064022132040769,0.7890331891184537,0.7076295296963253,0.692466492235914,0.6746048551933587,0.7921687513949858,0.0,18,-0.0815540901778297,-0.09833459083459621,-0.09880740635579037,-0.1068770145433156,-0.1015573019598287,-0.06455536846095718,-0.09499466373325186,-0.036854174808174156
0.7081125992082837,0.7913268732873625,0.7079285674218381,0.691534635352775,0.691946307697022,0.7921687513949858,0.0,19,-0.08369922798834496,-0.10063411604221076,-0.05714186399295425,-0.0998657786105619,-0.08207414195666624,-0.06127233459186681,-0.10701749940110179,-0.061960918372305294
0.705272805536619,0.7918069410113265,0.6991165647656132,0.6927605259176527,0.6934127516217994,0.7921687513949858,0.0,20,-0.09269037624571341,-0.09940822547733322,-0.059080758510670434,-0.10032702400248956,-0.1018461072177323,-0.07681542969743885,-0.11246934611166182,-0.05550418870083282
