timestamp,pattern_name,mutation_type,avg_gain_total,count_total,avg_gain_early,count_early,avg_gain_mid,count_mid,avg_gain_late,count_late
20250811_093252,rand_04ANOD2PBA,swap,-0.034362437927527904,35,-0.03320854529631652,19,-0.03573268542709143,16,0,0
20250811_093252,rand_04ANOD2PBA,split,-0.030236058793364818,27,-0.03415818665593598,13,-0.026594082920977313,14,0,0
20250811_103455,rand_04EGGDPALT,design_params,-0.013533358889581302,37,-0.0069280526518012975,27,-0.03136768573158731,10,0,0
20250811_103455,rand_04EGGDPALT,inversion,-0.022712783413300835,43,-0.017778020172493497,28,-0.03192434146280786,15,0,0
20250811_103455,rand_04EGGDPALT,insertion,-0.014818905695503827,37,-0.012290981517240174,19,-0.017487270105893238,18,0,0
20250811_103455,rand_04EGGDPALT,split,-0.0012765053885626574,21,0.00010314820202426874,15,-0.004725639365029973,6,0,0
20250811_103455,rand_04EGGDPALT,scramble,-0.01728207899765498,40,-0.014624878936102944,21,-0.02021898432884407,19,0,0
20250811_103455,rand_04EGGDPALT,swap,-0.016170644840500896,31,-0.012330220890921636,17,-0.02083401677927571,14,0,0
20250811_103455,rand_04EGGDPALT,rotate,-0.02325083464685816,33,-0.022261891812478937,17,-0.024301586408386082,16,0,0
20250811_104328,rand_04IMMO8WDD,design_params,-0.13270317680148747,75,-0.0986612407368183,20,-0.12574304370373718,15,-0.15233419474547838,40
20250811_104328,rand_04IMMO8WDD,rotate,-0.0911309817762172,72,-0.050765342262224886,19,-0.08108191506259128,20,-0.12046214798950121,33
20250811_104328,rand_04IMMO8WDD,split,-0.04207084741004656,80,-0.02457250355778943,27,-0.049384896237632356,20,-0.051954917333053456,33
20250811_104328,rand_04IMMO8WDD,swap,-0.07721901664959803,80,-0.06310289279626216,31,-0.09274776552186297,20,-0.0815991843050502,29
20250811_104328,rand_04IMMO8WDD,scramble,-0.05539901606161052,62,-0.040352455477059984,16,-0.060006576287002886,14,-0.060906488755276614,32
20250811_104328,rand_04IMMO8WDD,insertion,-0.05055087523718492,71,-0.0469768362214564,22,-0.03964283061580353,21,-0.061540082215579085,28
20250811_104328,rand_04IMMO8WDD,inversion,-0.08961763927221085,60,-0.07512606562989746,15,-0.09191781221508065,15,-0.0957133396219326,30
20250811_112849,rand_05AG183QLC,design_params,-0.04051028193084225,40,-0.024995483282353615,17,-0.04868241063621555,17,-0.061314513436335726,6
20250811_112849,rand_05AG183QLC,insertion,-0.026399085925184425,36,-0.018431792048977415,22,-0.03437597595870649,13,-0.09797998076595171,1
20250811_112849,rand_05AG183QLC,swap,-0.029021211379932826,46,-0.015583627922180902,26,-0.039601665078816226,15,-0.06715528426359267,5
